ID; Requirement; Notes
REQ-0010; Software shall be named VSCIVE.
REQ-0020; Software shall be an extension for Visual Studio Code.
REQ-0030; Software shall be implemented using Open Source libraries, compatible with Visual Studio Code licensing.; MIT License is recommended.
REQ-0031; Software libraries requiring the least amount of boilerplate shall be preferred.
REQ-0032; Software libraries with minimum dependencies shall be preferred (second priority).
REQ-0040; Software shall allow to edit Interface View diagrams.; Interface View represents a logical architecture of a TASTE system, as is defined in Space Creator. No schema exists, reference implementation is provided here: https://gitlab.esa.int/taste/spacecreator/-/tree/master/src/libs/ivcore?ref_type=heads
REQ-0050; Interface View diagrams shall be compatible with Space Creator Interface View XML format. Compatibility means the capability to edit files interchangeably with SpaceCreator, and thus being able to read, retain and save all entities and attributes; Examples are provided in references folder, in files named interfaceview.xml
REQ-0060; It shall be possible to create new Functions.
REQ-0070; It shall be possible to create new Interfaces, Provided and Required; Each Interface belongs to a Function.
REQ-0071; It shall be possible to create Functions and Interfaces by both using Context Menu (available under right click) and by dragging from a palette of available entities.; Palette shall be available as a side panel, and it shall contain at least Functions, Required Interfaces and Provided Interfaces.
REQ-0080; It shall be possible to connect Provided and Required Interfaces together, in an N:M relationship.; N:M relationship means that one Provided Interface can be connected to multiple Required Interfaces, and one Required Interface can be connected to multiple Provided Interfaces.
REQ-0081; When connecting Interfaces, the Required one shall, by default, inherit the properties of the Provided one, unless they are already set, conflicting or not compatible.
REQ-0082; It shall be possible to create connected interfaces in one step, by pressing a shortcut key and dragging from source Function (creating Required Interface) to target Function (creating Provided Interface).; By default Ctrl shall be used as shortcut key, but it shall be configurable.
REQ-0090; Functions shall have name, description and implementation language as basic properties.
REQ-0100; Implementation language shall be selectable from a list, defined in Attributes file.; Example attributes file is provided in references folder, named default_attributes.xml.
REQ-0110; Interfaces shall have name, type (exactly one of provided or required), kind (exactly one of cyclic, sporadic, protected or unprotected) and Interface Parameters.
REQ-0111; Sporadic, Protected and Unprotected Interfaces shall be connectable only to Interfaces of the same kind.; GUI shall not allow connecting incompatible interfaces.
REQ-0112; Cyclic Interfaces shall not be connectable, and only Provided interfaces may be Cyclic; Cyclic Interfaces are used to model periodic stimuli without a specific source.
REQ-0120; Interface Parameters shall have name, type (string referring to ASN.1 name) and direction (input or output).
REQ-0130; It shall be possible to nest Functions inside other Functions.
REQ-0140; It shall be possible to connect interfaces of nested and non-nested Functions.; Connection from within a nested Function to an external Function shall be through first connecting the nested Function to its hosting Function. Examples are provided in references folder, in interfaceview.xml files.
REQ-0150; It shall be possible to manually position Functions, Interfaces and Connections on the diagram.; Positioning of Interfaces is constrained, as stated in REQ-0160. Connections shall be routed automatically, but it shall be possible to edit their path manually by dragging their segments or adding new waypoints.
REQ-0160; Interfaces shall be located on an edge of the hosting Function.; Any edge is allowed, and it shall be possible to change the edge of an Interface after its creation.
REQ-0170; When a function is moved, its Interfaces and Connections shall move together with it.
REQ-0180; It shall be possible to select and move or delete multiple Functions or Interfaces together.
REQ-0190; It shall be possible to resize Functions.
REQ-0200; It shall be possible to edit the color of Functions (border and fill), Interfaces (fill) and Connections (line).
REQ-0210; It shall be possible to edit attributes of Function, Interfaces, Interface Parameters and Connections.
REQ-0220; It shall be possible to reorder Interface Parameters within an Interface.
REQ-0230; Functions and Interfaces shall support additional attributes defined in Attributes file.; Example attributes file is provided in references folder, named default_attributes.xml.
REQ-0231; If a basic attribute is also defined in the Attributes file, the basic one shall take precedence and the one from the Attributes file shall be ignored. 
REQ-0240; It shall be possible to configure path to the Attributes file.
REQ-0250; Default path to the Attributes file shall be $HOME/.local/default_attributes.xml.
REQ-0260; It shall be possible to delete Functions.
REQ-0270; It shall be possible to delete Interfaces.
REQ-0280; It shall be possible to delete Interface Parameters.
REQ-0290; It shall be possible to delete Connections.
REQ-0300; Software shall retain all attributes of entities. When an Interface View is read from file, all attributes of entities shall be loaded. When an Interface View is written to file, all attributes of entities shall be saved, even if unknown to the Software.
REQ-0310; It shall be possible to zoom in and out smoothly on the diagram.
REQ-0311; It shall be possible to fit the diagram to the available space.
REQ-0312; It shall be possible to pan the diagram by dragging the background.
REQ-0320; It shall be possible to export the diagram as an image file. PNG and SVG formats shall be supported. Target file name shall be selectable by the user.
REQ-0330; When a Function is removed, all its nested Functions, Interfaces and Connections shall be removed as well.
REQ-0331; When an Interface is removed, all its Connections shall be removed as well.
REQ-0340; Editor shall support undo and redo of the following operations: creation, deletion, movement, resizing, connecting, re-coloring and renaming of Functions, Interfaces and Connections.
REQ-0350; The depth of undo and redo operations shall be configurable.; By default it shall be 100.
REQ-0360; It shall be possible to copy and paste Functions and Interfaces.
REQ-0370; It shall be possible to nest and unnest Functions by dragging and dropping them into or out of other Functions.; Interfaces shall be retained, but connections shall be removed when a Function is nested or unnested, as they may not be valid anymore.
REQ-0380; Editor shall be able to handle, without significant performance degradation, diagrams with up to 512 Functions and 1024 Interfaces.; The amount of Functions and Interfaces is not limited, but performance may degrade with larger diagrams. These numbers are indicative of the expected performance range.
REQ-0390; Editor shall support one Interface View diagram open at a time.; Normally, only one is present in the given TASTE project. More than one may be present in the same project, but they shall be edited one at a time. If multiple Interface Views are present, user shall be able to select which one to edit.
REQ-0400; Software shall save the Interface View to file when user selects "Save" from the Visual Studio Code menu or presses the corresponding shortcut key.;
